ImageID;Description
42231;screen shows a mobile screen in a learning app
29706;pop up suggesting to rate the app
20331;screen shows multiple options in a music app
51807;page displaying the screen of top stories
24825;screen shows multiple options in a property management application
36872;screen shows multiple options in a sports app
13118;display showing an image with multiple icons
17944;page displaying multiple options in a shopping application
23710;screen shows about a mobile app
4448;page displaying information about the app
59273;page displaying about the movie app
64515;page displaying about a satellite view in application
71470;page displaying a book view in an ebook app
62450;screen shows recent images in app
49225;page displaying different options in application
59023;screen shows dolphin screen with share option
4910;screen shows multiple options in a food application
57349;screen displaying multiple features in a mobile screen shot
23227;page displaying about an app
65136;screen displaying the screen page of a news app
43279;page displaying with list of different locations
40852;screen shows multiple articles in a news app
34709;screen displaying activity page with other options
70839;page displaying the information of gun mods
375;display showing flight details of a flight
61132;display of screen shows a screen shot
45455;page displaying to download apps
26778;screen displaying the screen page
47550;screen shows address details in a mobile phone
50076;screen shows account details in a mobile app
22143;login page of a career app
12903;screen displaying the mobile screen with multiple options
58974;screen displaying multiple language options
41608;page displaying the mobile screenshot
69669;screen displaying a advertisement in a business app
31748;page displaying a version
11571;screen page displaying a language translation app
65588;screen shows to find matches and replace it
9030;screen showing list of missions in a gaming app
12445;page displaying the weather forecast of the app
53627;screen displaying a music player application
13275;screen shows screen shot of a fitness app
45494;pop up showing a calendar
32200;page displaying the screenshot in basic settings
12964;page displaying wish list
51623;screen displaying list of options in a job search app
29381;screen displaying the screen page of a social app
54733;screen showing settings page
59623;screen displaying multiple icons and names
22687;screen shows join us now in a learning app
2343;pop up displayed screen of app
46315;page displaying a image in a social app
70818;screen displaying multiple options in a mobile application
47679;page displaying search results of search results
28133;login page
3514;page displaying a product in a shopping app
52110;login page of a social app
27353;screen shows about screen shot
14781;screen displaying a screen shot with multiple options
45407;screen shows a screen shot
59846;screen page displaying various settings
44951;welcome page
2913;display of a page showing of language learning app
29354;screen displaying the sort option
51230;page displaying information about mobile banking application
52291;screen shows a page with multiple icons
13668;page displaying various options in call history
44836;screen shows multiple categories in a shopping application
30845;screen shows navigation
62618;login page
7704;screen shows multiple options in a guiding application
54391;home page displaying search bar
64348;sign in page of a social app
6025;screen shows about mobile app
67043;page displaying to create a profile
44348;screen displaying a blank page with flashcards
57774;page displaying the current location
41405;display of screen shows a mobile screen
67077;screen shows about a mobile application
61021;screen shows multiple options in a programming app
64761;screen shows people search details in a communication app
10118;screen shows multiple options in a shopping app
37247;page displaying details about a app
15477;page showing information about an application
6485;screen shows help details in a weather app
16823;screen displaying multiple expenses details
39684;page showing the options in mobile app
26489;page displaying a mobile screen with other options
66983;page displaying the details of travel app
42716;screen shows to subscribe in a mobile app
2916;screen shows premium details in a study app
11459;screen shows payment options in a financial app
64433;screen shows multiple options
8322;screen displaying about information in a weather app
21909;screen displaying a music player application
17422;page displaying the details and information about the app
31668;page displaying the screenshots of app
38336;screen shows details of an job application
11830;screen shows multiple theaters in a movie app
4880;screen shows different options in a news app
52952;pop up displaying different apps to share
8125;login page of a social app
44923;screen shows get details in a gaming app
29687;screen shows multiple options in a food application
22257;pop up displaying information about the app
5773;page displaying various options in a sports application
12787;screen displaying notes page
45379;screen shows spanish course in a learning app
28204;page showing different options in settings
3345;screen shows about a screen
36344;screen shows multiple images
9947;screen shows about mobile screen
59871;screen shows different clothing in a shopping app
56319;screen displaying the screen page of a mobile application
46497;screen displaying the screen of a food app
2839;page displaying the list of hotels
53254;screen displaying the screen of a mobile application
70547;screen shows multiple options in a music application
29458;screen shows write option in a mobile app
3285;screen shows about a quiz in a learning app
33565;page displaying to download an app
46761;page displaying list of locations
59408;screen shows create and share options in a mobile
8756;screen shows multiple options in a radio app
26962;screen showing the page of a mobile screen
59059;list of options in a mobile screen
45136;screen displaying to enter email address
37027;screen shows screen shot of a video
53913;screen shows different light options in a mobile application
4180;display of screen shows a weekly ads
45526;screen displaying the update profile
764;page displaying the recordings of mobile
64589;screen shows list of areas
5594;screen shows an image in the gallery app
58278;screen shows screen shows screenshots
14736;page displaying different options of a baby app
23718;screen shows fortune cookie with multiple options
51372;screen shows video shows in a mobile app
40267;screen shows multiple data details in a baby care application
28732;page displaying the screen shot of a animal
29928;screen shows details about mobile fitness app
51945;screen shows to enter details
20958;screen shows multiple options in a mapping application
45431;page displaying the screen shot of a profile
48318;page displaying various themes in app
37074;screen displaying the screen page of a baby care app
48935;page displaying various profiles in a social networking app
59717;"""screen shows create childs profile"""
65600;screen shows welcome page with multiple controls
41428;page displaying the information of the test
14489;screen shows skip option for a business app
44118;welcome page of a financial app
9328;screen shows multiple options
22894;pop up displaying information about a calculation
4128;page displaying the multiple options
53526;screen displaying multiple products in a shopping application
51806;screen displaying the screen shot
34187;screen shows about a mobile screen shot
47571;screen displaying multiple groups in a contact application
56680;screen shows different icons in a gaming app
44852;display of screen shows a mobile test
56427;screen shows order now option in a food app
57324;screen displaying an information with multiple controls
27096;screen shows about a book
50079;screen shows to start a food application
24288;screen shows search bar of a recipe app
31214;login page of a social app
27614;screen shows different details of a profile
54285;screen displaying information in a learning app
28702;screen shows multiple images in a gallery
46580;page displaying details of a child in a baby care app
14315;screen shows a page of fitness app
51608;screen shows multiple options in a mobile application
30072;welcome page of a banking app
35268;page displaying different options to select
63345;screen displaying the screen with multiple applications
63098;screen shows legal details in a mobile app
71061;page displaying list of options in app
4702;screen showing settings page
46096;page displaying list of entries
64999;page displaying to start an app
25330;page displaying list of exercises in fitness app
23461;screen shows a mobile screen with multiple options
49277;page displaying different options to select
57322;sign in page of a web app
34648;screen displaying breakfast of a journal app
19282;screen shows video of a video
25850;pop up showing different applications to share
12114;screen shows drawing options in a drawing app
4816;page displaying information about mobile application
5566;page displaying search bar to find friends in app
69039;screen displaying an image with multiple controls
62361;screen displaying multiple options in a communication app
24206;screen shows list of plans in a mobile app
71035;screen shows setup details in a weather app
8384;screen shows a mobile app screen
70850;screen displaying multiple options in a video page
53179;login page
7710;screen shows to create an account
59008;screen shows multiple recipes in a cooking app
24717;pop up displaying information about the application
45162;page displaying the multiple icons
19920;screen shows about a chat app
69893;screen shows a screen shot of a health app
